word,freq_hike,freq_cut,p_hike,p_cut,log_odds
первичном,15,0,0.00019473764648461573,1.204296061253388e-07,7.38834312833842
ипотечный,13,0,0.000168789925434034,1.204296061253388e-07,7.245344775217463
стандарт,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
плавающих,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
плавающей,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
взноса,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
разрыва,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
список,11,0,0.0001428422043834523,1.204296061253388e-07,7.078430433427638
плавающие,11,0,0.0001428422043834523,1.204296061253388e-07,7.078430433427638
вторичном,10,0,0.00012986834385816145,1.204296061253388e-07,6.983211076020179
недвижимости,10,0,0.00012986834385816145,1.204296061253388e-07,6.983211076020179
мягкими,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
переносить,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
платежами,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
корпоративных,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
повышений,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
нехватка,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
соответствующих,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
юани,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
ужесточению,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
банкротств,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
дисбаланс,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
территориальных,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
расчетами,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
финансируют,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
недвижимость,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
пошлины,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
узкие,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
ноябре,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
мвф,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
овощехранилищ,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
диверсификации,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
срочные,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
трансграничными,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
брикс,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
экосистем,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
трансграничных,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
ремонта,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
отклоняется,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
плавающими,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
отложенные,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
непосредственно,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
предложить,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
овощей,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
лета,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
вернулась,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
усилит,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
спекулянтов,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
сергей,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
экосистемы,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
октябрьского,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
боятся,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
доминирования,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
выдач,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
статистически,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
зеркалировать,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
друга,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
борщевого,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
макропру,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
возобновлении,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
маржинальность,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
принят,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
пошлин,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
растущий,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
административных,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
взносом,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
сдержать,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
навес,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
историю,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
масло,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
предотвратить,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
рискованных,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
полугода,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
мягкая,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
вынести,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
мебель,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
учреждений,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
свопам,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
персонала,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
вывоз,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
удорожание,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
регулярных,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
усилились,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
серьезный,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
большему,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
своп,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
отмена,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
избыточный,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
коротком,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
цепочках,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
связь,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
импортируемая,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
слабо,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
восстановилась,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
удобнее,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
пытаться,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
компонент,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
борщевой,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
калининградской,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
производителям,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
концепция,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
первоначальным,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
мощности,5,0,6.499904123170718e-05,1.204296061253388e-07,6.291062397789823
удовлетворить,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
подстроиться,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
политик,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
бензина,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
убрать,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ненефтегазовый,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
каждое,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
рос,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ссуд,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
квалифицированных,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
полис,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
растягивать,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
повестку,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
нейтральному,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
vtimes,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
металлов,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ожидал,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ненефтегазовые,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
расширении,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
валютное,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
допандемическому,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
сдерживанию,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
готовимся,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
налоги,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
примере,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
дисконтом,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
импортерами,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
демонстрируют,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
спекулянты,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ближнем,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
оценим,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
появлению,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
происходили,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
экономическими,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
закрепится,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
вологда,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
распространяться,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
нерезервные,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
инфраструктура,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
кредитном,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
мигрантов,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
скепсис,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
привлекательна,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
поведении,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
поднимать,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
коэффициентам,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
перегретый,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
плато,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
стимула,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
наличии,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
массовая,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
сектором,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
льготную,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
маркеры,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
предполагал,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
долгами,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
представляется,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
минэка,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
заработные,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
торгам,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
жестким,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ограниченное,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
спекулятивная,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
уточняем,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
границу,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
прибылей,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
спираль,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
скобки,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
маржинальности,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
возможностью,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ондкп,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
перекладывать,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
мест,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
волатильностью,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
стандартам,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
купюры,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
выполнять,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
завершать,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
подорожало,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
сегменты,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
форекс,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
стройматериалы,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
повлияла,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
ограниченном,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
региональных,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
