,key_rate_m,inflation_yoy,usd_rub_m
key_rate_m,1.0,0.9435208352090957,-0.7269030997672623
inflation_yoy,0.9435208352090957,1.0,-0.8218611556227057
usd_rub_m,-0.7269030997672623,-0.8218611556227057,1.0
