date,dollar_rate
17.05.2025,"80,7689"
16.05.2025,"80,3134"
15.05.2025,"80,2237"
14.05.2025,"80,5500"
13.05.2025,"80,8883"
08.05.2025,"80,8612"
07.05.2025,"80,9644"
06.05.2025,"81,9137"
01.05.2025,"81,4933"
30.04.2025,"81,5616"
29.04.2025,"82,5467"
26.04.2025,"82,6549"
25.04.2025,"82,8559"
24.04.2025,"82,3637"
23.04.2025,"81,4620"
22.04.2025,"80,7597"
19.04.2025,"81,1371"
18.04.2025,"82,0200"
17.04.2025,"82,5892"
16.04.2025,"82,3003"
15.04.2025,"82,7671"
12.04.2025,"84,0040"
11.04.2025,"85,0159"
10.04.2025,"86,0923"
09.04.2025,"85,4641"
08.04.2025,"86,1891"
05.04.2025,"84,2774"
04.04.2025,"84,3830"
03.04.2025,"84,5522"
02.04.2025,"84,8707"
01.04.2025,"85,4963"
29.03.2025,"83,6813"
28.03.2025,"83,8347"
27.03.2025,"84,2065"
26.03.2025,"84,1930"
25.03.2025,"83,8737"
22.03.2025,"84,6400"
21.03.2025,"84,3955"
20.03.2025,"82,8487"
19.03.2025,"81,5018"
18.03.2025,"84,3059"
15.03.2025,"85,5694"
14.03.2025,"86,6190"
13.03.2025,"86,6204"
12.03.2025,"86,5669"
11.03.2025,"88,3872"
08.03.2025,"89,1362"
07.03.2025,"89,5724"
06.03.2025,"89,7878"
05.03.2025,"89,2448"
04.03.2025,"89,2497"
01.03.2025,"88,2568"
28.02.2025,"87,6967"
27.02.2025,"85,9279"
26.02.2025,"86,6318"
25.02.2025,"88,2065"
22.02.2025,"88,1676"
21.02.2025,"88,5103"
20.02.2025,"90,4268"
19.02.2025,"91,3398"
18.02.2025,"91,4347"
15.02.2025,"90,3099"
14.02.2025,"91,0313"
13.02.2025,"94,0485"
12.02.2025,"95,8024"
11.02.2025,"96,7821"
08.02.2025,"97,2762"
07.02.2025,"96,9104"
06.02.2025,"98,0556"
05.02.2025,"98,5336"
04.02.2025,"99,9433"
01.02.2025,"97,8107"
31.01.2025,"98,0062"
30.01.2025,"98,0126"
29.01.2025,"97,9658"
28.01.2025,"97,1320"
25.01.2025,"98,2636"
24.01.2025,"99,0978"
23.01.2025,"98,2804"
22.01.2025,"99,9282"
21.01.2025,"101,9579"
18.01.2025,"102,4137"
17.01.2025,"102,3762"
16.01.2025,"102,8078"
15.01.2025,"103,4380"
14.01.2025,"102,7081"
11.01.2025,"101,9146"
10.01.2025,"102,2911"
29.12.2024,"101,6797"
28.12.2024,"100,5281"
27.12.2024,"99,2295"
26.12.2024,"99,6125"
25.12.2024,"99,8729"
24.12.2024,"101,6143"
21.12.2024,"102,3438"
20.12.2024,"103,4207"
19.12.2024,"102,7763"
18.12.2024,"102,9979"
17.12.2024,"102,9125"
14.12.2024,"103,4305"
13.12.2024,"103,9500"
12.12.2024,"103,2707"
11.12.2024,"100,0324"
10.12.2024,"99,3759"
07.12.2024,"99,4215"
06.12.2024,"103,3837"
05.12.2024,"104,2361"
04.12.2024,"106,1878"
03.12.2024,"107,1758"
30.11.2024,"107,7409"
29.11.2024,"109,5782"
28.11.2024,"108,0104"
27.11.2024,"105,0604"
26.11.2024,"103,7908"
23.11.2024,"102,5761"
22.11.2024,"100,6798"
21.11.2024,"100,2192"
20.11.2024,"100,0348"
19.11.2024,"99,9430"
16.11.2024,"99,9971"
15.11.2024,"99,0180"
14.11.2024,"98,3657"
13.11.2024,"97,9559"
12.11.2024,"97,9550"
09.11.2024,"97,8335"
08.11.2024,"98,0726"
07.11.2024,"98,2236"
06.11.2024,"98,0562"
03.11.2024,"97,5499"
02.11.2024,"97,4402"
01.11.2024,"97,0226"
31.10.2024,"97,0530"
30.10.2024,"97,3261"
29.10.2024,"97,2300"
26.10.2024,"96,6657"
25.10.2024,"96,7402"
24.10.2024,"96,6379"
23.10.2024,"96,5918"
22.10.2024,"96,0924"
19.10.2024,"96,4172"
18.10.2024,"97,1490"
17.10.2024,"97,2568"
16.10.2024,"97,0121"
15.10.2024,"96,1021"
12.10.2024,"96,0686"
11.10.2024,"97,2394"
10.10.2024,"96,9483"
09.10.2024,"96,1079"
08.10.2024,"96,0649"
05.10.2024,"94,8700"
04.10.2024,"95,0262"
03.10.2024,"94,5054"
02.10.2024,"93,3581"
01.10.2024,"93,2221"
28.09.2024,"92,7126"
27.09.2024,"92,4074"
26.09.2024,"92,3880"
25.09.2024,"92,8622"
24.09.2024,"92,9200"
21.09.2024,"92,5848"
20.09.2024,"92,6962"
19.09.2024,"91,6712"
18.09.2024,"91,4292"
17.09.2024,"91,1423"
14.09.2024,"90,9345"
13.09.2024,"91,1096"
12.09.2024,"91,2653"
11.09.2024,"91,1127"
10.09.2024,"90,3853"
07.09.2024,"89,8225"
06.09.2024,"89,7044"
05.09.2024,"88,9288"
04.09.2024,"88,6118"
03.09.2024,"90,0013"
31.08.2024,"91,1868"
30.08.2024,"91,4548"
29.08.2024,"91,4449"
28.08.2024,"91,4807"
27.08.2024,"91,7745"
24.08.2024,"91,6012"
23.08.2024,"91,2881"
22.08.2024,"91,6862"
21.08.2024,"90,6944"
20.08.2024,"89,5428"
17.08.2024,"88,9062"
16.08.2024,"88,7960"
15.08.2024,"90,0055"
14.08.2024,"92,6592"
13.08.2024,"89,9475"
10.08.2024,"87,9920"
09.08.2024,"86,5621"
08.08.2024,"85,9543"
07.08.2024,"85,1646"
06.08.2024,"84,9471"
03.08.2024,"85,7024"
02.08.2024,"85,7833"
01.08.2024,"86,1091"
31.07.2024,"86,3300"
30.07.2024,"86,5554"
27.07.2024,"85,5650"
26.07.2024,"85,4100"
25.07.2024,"86,5502"
24.07.2024,"87,2990"
23.07.2024,"87,7805"
20.07.2024,"88,0206"
19.07.2024,"87,8754"
18.07.2024,"88,0872"
17.07.2024,"88,2824"
16.07.2024,"87,8077"
13.07.2024,"87,7427"
12.07.2024,"87,9880"
11.07.2024,"87,8551"
10.07.2024,"88,0031"
09.07.2024,"88,1688"
06.07.2024,"88,1348"
05.07.2024,"88,1205"
04.07.2024,"87,9506"
03.07.2024,"87,9921"
02.07.2024,"87,2972"
29.06.2024,"85,7480"
28.06.2024,"84,9640"
27.06.2024,"87,8064"
26.06.2024,"87,2770"
25.06.2024,"87,3730"
22.06.2024,"87,9595"
21.06.2024,"85,4176"
20.06.2024,"82,6282"
19.06.2024,"87,0354"
18.06.2024,"89,0499"
15.06.2024,"89,0658"
14.06.2024,"88,2080"
12.06.2024,"89,0214"
11.06.2024,"88,9944"
08.06.2024,"88,7606"
07.06.2024,"88,7604"
06.06.2024,"88,7436"
05.06.2024,"88,7574"
04.06.2024,"89,3755"
01.06.2024,"90,1915"
31.05.2024,"89,7869"
30.05.2024,"89,2589"
29.05.2024,"88,4375"
28.05.2024,"88,6852"
25.05.2024,"89,7026"
24.05.2024,"90,2486"
23.05.2024,"90,1887"
22.05.2024,"90,4082"
21.05.2024,"90,6537"
18.05.2024,"90,9873"
17.05.2024,"90,9239"
16.05.2024,"91,2573"
15.05.2024,"91,3591"
14.05.2024,"91,6330"
09.05.2024,"91,8239"
08.05.2024,"91,1231"
07.05.2024,"91,3124"
04.05.2024,"91,6918"
03.05.2024,"92,0538"
28.04.2024,"91,7791"
27.04.2024,"92,0134"
26.04.2024,"92,1314"
25.04.2024,"92,5058"
24.04.2024,"93,2918"
23.04.2024,"93,2519"
20.04.2024,"93,4409"
19.04.2024,"94,0922"
18.04.2024,"94,3242"
17.04.2024,"94,0742"
16.04.2024,"93,5891"
13.04.2024,"93,4419"
12.04.2024,"93,7196"
11.04.2024,"93,2198"
10.04.2024,"92,7463"
09.04.2024,"92,5810"
06.04.2024,"92,4155"
05.04.2024,"92,3058"
04.04.2024,"92,3892"
03.04.2024,"92,5254"
02.04.2024,"92,2914"
30.03.2024,"92,3660"
29.03.2024,"92,2628"
28.03.2024,"92,5919"
27.03.2024,"92,5745"
26.03.2024,"92,7761"
23.03.2024,"92,6118"
22.03.2024,"91,9499"
21.03.2024,"92,6861"
20.03.2024,"92,2243"
19.03.2024,"91,9829"
16.03.2024,"91,8700"
15.03.2024,"91,6359"
14.03.2024,"91,5449"
13.03.2024,"90,8818"
12.03.2024,"90,6252"
08.03.2024,"90,7493"
07.03.2024,"90,3412"
06.03.2024,"91,1604"
05.03.2024,"91,3534"
02.03.2024,"91,3336"
01.03.2024,"90,8423"
29.02.2024,"91,8692"
28.02.2024,"92,0425"
27.02.2024,"92,6321"
23.02.2024,"92,7519"
22.02.2024,"92,4387"
21.02.2024,"92,3490"
20.02.2024,"92,4102"
17.02.2024,"92,5492"
16.02.2024,"91,8237"
15.02.2024,"91,4316"
14.02.2024,"91,2057"
13.02.2024,"91,0758"
10.02.2024,"90,8901"
09.02.2024,"91,2561"
08.02.2024,"91,1514"
07.02.2024,"90,6842"
06.02.2024,"91,2434"
03.02.2024,"90,6626"
02.02.2024,"90,2299"
01.02.2024,"89,6678"
31.01.2024,"89,2887"
30.01.2024,"89,6090"
27.01.2024,"89,5159"
26.01.2024,"88,6562"
25.01.2024,"88,2829"
24.01.2024,"87,9199"
23.01.2024,"87,9724"
20.01.2024,"88,5896"
19.01.2024,"88,6610"
18.01.2024,"88,3540"
17.01.2024,"87,6457"
16.01.2024,"87,6772"
13.01.2024,"88,1324"
12.01.2024,"88,7818"
11.01.2024,"89,3939"
10.01.2024,"90,4040"
30.12.2023,"89,6883"
29.12.2023,"90,3041"
28.12.2023,"91,7051"
27.12.2023,"91,7069"
26.12.2023,"91,9690"
23.12.2023,"91,9389"
22.12.2023,"91,7062"
21.12.2023,"90,4056"
20.12.2023,"90,0870"
19.12.2023,"90,4162"
16.12.2023,"89,6966"
15.12.2023,"89,6741"
14.12.2023,"89,8926"
13.12.2023,"90,2158"
12.12.2023,"90,9846"
09.12.2023,"91,6402"
08.12.2023,"92,5654"
07.12.2023,"92,7826"
06.12.2023,"91,5823"
05.12.2023,"90,6728"
02.12.2023,"89,7619"
01.12.2023,"88,5819"
30.11.2023,"88,8841"
29.11.2023,"88,6102"
28.11.2023,"88,7045"
25.11.2023,"88,8133"
24.11.2023,"88,1206"
23.11.2023,"88,1648"
22.11.2023,"87,8701"
21.11.2023,"88,4954"
18.11.2023,"89,1237"
17.11.2023,"88,9466"
16.11.2023,"89,4565"
15.11.2023,"91,2570"
14.11.2023,"92,1185"
11.11.2023,"92,0535"
10.11.2023,"91,9266"
09.11.2023,"92,1973"
08.11.2023,"92,4151"
04.11.2023,"93,0351"
03.11.2023,"93,1730"
02.11.2023,"93,2801"
01.11.2023,"92,0226"
31.10.2023,"93,2435"
28.10.2023,"93,2174"
27.10.2023,"93,5616"
26.10.2023,"93,1507"
25.10.2023,"93,5224"
24.10.2023,"94,7081"
21.10.2023,"95,9053"
20.10.2023,"97,3074"
19.10.2023,"97,3724"
18.10.2023,"97,3458"
17.10.2023,"97,2865"
14.10.2023,"97,3075"
13.10.2023,"96,9948"
12.10.2023,"99,9808"
11.10.2023,"99,9349"
10.10.2023,"101,3598"
07.10.2023,"100,4911"
06.10.2023,"99,6762"
05.10.2023,"99,4555"
04.10.2023,"99,2677"
03.10.2023,"98,4785"
30.09.2023,"97,4147"
29.09.2023,"97,0018"
28.09.2023,"96,5000"
27.09.2023,"96,2378"
26.09.2023,"96,1456"
23.09.2023,"96,0419"
22.09.2023,"96,0762"
21.09.2023,"96,6172"
20.09.2023,"96,2236"
19.09.2023,"96,6472"
16.09.2023,"96,6338"
15.09.2023,"96,1609"
14.09.2023,"95,9794"
13.09.2023,"94,7035"
12.09.2023,"96,5083"
09.09.2023,"97,9241"
08.09.2023,"98,1961"
07.09.2023,"97,8439"
06.09.2023,"97,5383"
05.09.2023,"96,6199"
02.09.2023,"96,3411"
01.09.2023,"96,3344"
31.08.2023,"95,9283"
30.08.2023,"95,7070"
29.08.2023,"95,4717"
26.08.2023,"94,7117"
25.08.2023,"94,4007"
24.08.2023,"94,4421"
23.08.2023,"94,1185"
22.08.2023,"94,1424"
19.08.2023,"93,4047"
18.08.2023,"93,7460"
17.08.2023,"96,7045"
16.08.2023,"97,4217"
15.08.2023,"101,0399"
12.08.2023,"98,2066"
11.08.2023,"97,2794"
10.08.2023,"97,3999"
09.08.2023,"96,0755"
08.08.2023,"96,5668"
05.08.2023,"94,8076"
04.08.2023,"93,7792"
03.08.2023,"92,8410"
02.08.2023,"91,7755"
01.08.2023,"91,5923"
29.07.2023,"90,9783"
28.07.2023,"90,0225"
27.07.2023,"90,0468"
26.07.2023,"90,0945"
25.07.2023,"90,4890"
22.07.2023,"90,3846"
21.07.2023,"90,8545"
20.07.2023,"91,2046"
19.07.2023,"90,6906"
18.07.2023,"90,4217"
15.07.2023,"90,1190"
14.07.2023,"90,1757"
13.07.2023,"90,6253"
12.07.2023,"90,5045"
11.07.2023,"91,4931"
08.07.2023,"91,6879"
07.07.2023,"92,5695"
06.07.2023,"90,3380"
05.07.2023,"89,5450"
04.07.2023,"89,3255"
01.07.2023,"88,3844"
30.06.2023,"87,0341"
29.06.2023,"85,6192"
28.06.2023,"85,0504"
27.06.2023,"84,6642"
24.06.2023,"84,0793"
23.06.2023,"83,6077"
22.06.2023,"84,2467"
21.06.2023,"84,2336"
20.06.2023,"83,9866"
17.06.2023,"83,6498"
16.06.2023,"83,9611"
15.06.2023,"84,3249"
14.06.2023,"83,6405"
10.06.2023,"82,6417"
09.06.2023,"82,0930"
08.06.2023,"81,4581"
07.06.2023,"81,2502"
06.06.2023,"81,3294"
03.06.2023,"80,8756"
02.06.2023,"80,9657"
01.06.2023,"80,9942"
31.05.2023,"80,6872"
30.05.2023,"80,0555"
27.05.2023,"79,9667"
26.05.2023,"79,9841"
25.05.2023,"79,9669"
24.05.2023,"80,1665"
23.05.2023,"79,9379"
20.05.2023,"79,9093"
19.05.2023,"80,0366"
18.05.2023,"80,7642"
17.05.2023,"79,9798"
16.05.2023,"79,1004"
13.05.2023,"77,2041"
12.05.2023,"75,8846"
11.05.2023,"76,6929"
06.05.2023,"76,8207"
05.05.2023,"78,6139"
04.05.2023,"79,3071"
03.05.2023,"79,9609"
29.04.2023,"80,5093"
28.04.2023,"81,5601"
27.04.2023,"81,6274"
26.04.2023,"81,5499"
25.04.2023,"81,2745"
22.04.2023,"81,4863"
21.04.2023,"81,6188"
20.04.2023,"81,6549"
19.04.2023,"81,6028"
18.04.2023,"81,6279"
15.04.2023,"81,5045"
14.04.2023,"81,6758"
13.04.2023,"82,0934"
12.04.2023,"82,1799"
11.04.2023,"81,7441"
08.04.2023,"82,3988"
07.04.2023,"80,6713"
06.04.2023,"79,4961"
05.04.2023,"79,3563"
04.04.2023,"77,9510"
01.04.2023,"77,3233"
31.03.2023,"77,0863"
30.03.2023,"76,9781"
29.03.2023,"76,5939"
28.03.2023,"76,5662"
25.03.2023,"76,4479"
24.03.2023,"76,3072"
23.03.2023,"76,9561"
22.03.2023,"76,8373"
21.03.2023,"77,2422"
18.03.2023,"76,6044"
17.03.2023,"76,4095"
16.03.2023,"75,7457"
15.03.2023,"75,1927"
14.03.2023,"75,4609"
11.03.2023,"75,9406"
10.03.2023,"75,9028"
08.03.2023,"75,4577"
07.03.2023,"75,4728"
04.03.2023,"75,4592"
03.03.2023,"75,4729"
02.03.2023,"75,2513"
01.03.2023,"74,8932"
28.02.2023,"75,4323"
23.02.2023,"74,7087"
22.02.2023,"74,8596"
21.02.2023,"74,0432"
18.02.2023,"74,7588"
17.02.2023,"74,7638"
16.02.2023,"74,2077"
15.02.2023,"73,8645"
14.02.2023,"73,6307"
11.02.2023,"72,7923"
10.02.2023,"72,8949"
09.02.2023,"71,5763"
08.02.2023,"70,8924"
07.02.2023,"70,5991"
04.02.2023,"70,3847"
03.02.2023,"70,0414"
02.02.2023,"70,1217"
01.02.2023,"70,5174"
31.01.2023,"69,5927"
28.01.2023,"69,3372"
27.01.2023,"69,1263"
26.01.2023,"68,9573"
25.01.2023,"68,7529"
24.01.2023,"68,6288"
21.01.2023,"68,6656"
20.01.2023,"68,8467"
19.01.2023,"68,8728"
18.01.2023,"68,6644"
17.01.2023,"68,2892"
14.01.2023,"67,5744"
13.01.2023,"67,7775"
12.01.2023,"69,0202"
11.01.2023,"69,6094"
10.01.2023,"70,3002"
31.12.2022,"70,3375"
30.12.2022,"71,9778"
29.12.2022,"71,3261"
28.12.2022,"69,9346"
27.12.2022,"68,4487"
24.12.2022,"68,6760"
23.12.2022,"72,1306"
22.12.2022,"70,5256"
21.12.2022,"69,0037"
20.12.2022,"66,3474"
17.12.2022,"64,6078"
16.12.2022,"64,3015"
15.12.2022,"63,3590"
14.12.2022,"63,2120"
13.12.2022,"62,7674"
10.12.2022,"62,3813"
09.12.2022,"62,5722"
08.12.2022,"62,9372"
07.12.2022,"62,9103"
06.12.2022,"62,1849"
03.12.2022,"61,7749"
02.12.2022,"61,1479"
01.12.2022,"60,8803"
30.11.2022,"61,0742"
29.11.2022,"60,7520"
26.11.2022,"60,4797"
25.11.2022,"60,3866"
24.11.2022,"60,5043"
23.11.2022,"60,6566"
22.11.2022,"60,7379"
19.11.2022,"60,3741"
18.11.2022,"60,3894"
17.11.2022,"60,3484"
16.11.2022,"60,3116"
15.11.2022,"60,3982"
12.11.2022,"60,2179"
11.11.2022,"61,2434"
10.11.2022,"61,0611"
09.11.2022,"60,9774"
08.11.2022,"61,2367"
04.11.2022,"62,0955"
03.11.2022,"61,6175"
02.11.2022,"61,4275"
01.11.2022,"61,6229"
29.10.2022,"61,5343"
28.10.2022,"61,3589"
27.10.2022,"61,4277"
26.10.2022,"61,3326"
25.10.2022,"61,1629"
22.10.2022,"61,1958"
21.10.2022,"61,5018"
20.10.2022,"61,5905"
19.10.2022,"61,7032"
18.10.2022,"61,7634"
15.10.2022,"63,0558"
14.10.2022,"63,4917"
13.10.2022,"63,7559"
12.10.2022,"63,6840"
11.10.2022,"62,3126"
08.10.2022,"61,2475"
07.10.2022,"60,2534"
06.10.2022,"59,4043"
05.10.2022,"58,7913"
04.10.2022,"57,5664"
01.10.2022,"55,2987"
30.09.2022,"57,4130"
29.09.2022,"58,4485"
28.09.2022,"58,1756"
27.09.2022,"57,9990"
24.09.2022,"58,1006"
23.09.2022,"59,8318"
22.09.2022,"60,8685"
21.09.2022,"60,0158"
20.09.2022,"60,1662"
