model,f1_macro
SimpleNN слои: 64 и 32,0.4382284382284382
SimpleNN слои: 256 и 128,0.6571428571428571
SimpleNN 3 слоя: 256,0.6756843800322061
AutoModelForSequenceClassification,0.6261022927689593
BertBiLSTMMLP,0.9060606060606061
BertAttention,0.9538239538239538
