date,key_rate_monthly,inflation_yoy,target_inflation
1970-01-01 00:00:00.000000006,20.0,9.4,4.0
1970-01-01 00:00:00.000000007,18.0,8.79,4.0
1970-01-01 00:00:00.000000008,18.0,8.14,4.0
1970-01-01 00:00:00.000000009,17.0,7.98,4.0
1970-01-01 00:00:00.000000010,16.5,7.71,4.0
